Rep,MinVelTime,MinVel,MaxVelTime,MaxVel,MinAccTime,MinAcc,MaxAccTime,MaxAcc,MinForceTime,MinForce,MaxForceTime,MaxForce,MinImpulseTime,MinImpulse,MaxImpulseTime,MaxImpulse,AvgWork,MinWorkTime,MinWork,MaxWorkTime,MaxWork,AvgPower,MinPowerTime,MinPower,MaxPowerTime,MaxPower
0,46.252000,0.023386,48.253000,1.112157,46.919000,0.061113,48.353000,5.762040,46.919000,0.061113,48.353000,5.762040,46.252000,0.023386,48.253000,1.112157,0.166208,46.252000,0.000273,48.253000,0.618447,-0.014755,48.320000,-4.725965,48.186000,2.743975
1,51.621000,0.017164,52.288000,1.007085,50.854000,0.053379,52.421000,4.912320,50.854000,0.053379,52.421000,4.912320,51.621000,0.017164,52.288000,1.007085,0.194759,51.621000,0.000147,52.288000,0.507111,-0.016072,52.388000,-3.612746,52.221000,1.914210
2,54.289000,0.016975,56.056000,1.086984,55.689000,0.049617,56.190000,5.901054,55.689000,0.049617,56.190000,5.901054,54.289000,0.016975,56.056000,1.086984,0.216079,54.289000,0.000144,56.056000,0.590767,-0.015405,56.156000,-4.275737,54.556000,1.957252
3,57.924000,0.004898,59.925000,1.078552,57.824000,0.096768,60.025000,6.115634,57.824000,0.096768,60.025000,6.115634,57.924000,0.004898,59.925000,1.078552,0.193147,57.924000,0.000012,59.925000,0.581637,-0.013079,59.991000,-4.495663,59.858000,2.820619
4,62.025000,0.015401,63.960000,1.018031,62.025000,0.053431,64.093000,5.507092,62.025000,0.053431,64.093000,5.507092,62.025000,0.015401,63.960000,1.018031,0.211507,62.025000,0.000119,63.960000,0.518194,-0.014687,64.060000,-3.993734,62.326000,1.872651
5,66.261000,0.029843,68.228000,0.975835,67.861000,0.062621,68.395000,5.360079,67.861000,0.062621,68.395000,5.360079,66.261000,0.029843,68.228000,0.975835,0.202379,66.261000,0.000445,68.228000,0.476127,-0.014707,68.328000,-3.224924,66.527000,2.272592
6,70.529000,0.008601,72.496000,0.944457,71.029000,0.058929,72.630000,5.296014,71.029000,0.058929,72.630000,5.296014,70.529000,0.008601,72.496000,0.944457,0.193554,70.529000,0.000037,72.496000,0.446000,-0.014548,72.596000,-3.401344,70.796000,1.919593
7,74.898000,0.022698,76.898000,0.962625,75.498000,0.119091,77.032000,5.452874,75.498000,0.119091,77.032000,5.452874,74.898000,0.022698,76.898000,0.962625,0.189044,74.898000,0.000258,76.898000,0.463324,-0.014624,76.998000,-3.497012,76.832000,2.017026
