Frame ordinal,Time (s),"displacement (vertical, cm)","displacement (horizontal, cm)","velocity (vertical, m/s)","velocity (horizontal, m/s)","acceleration (vertical, m/s^2)","acceleration (horizontal, m/s^2)","power (vertical, kW)","power (horizontal, kW)","force (vertical, kN)","force (horizontal, kN)"
62,37.915,-0.13,0.04,0.00,-0.01,-0.15,-0.15,0.00,0.00,1.38,0.00
63,37.949,-0.16,-0.04,-0.00,-0.02,-0.06,-0.03,0.00,0.00,1.39,0.00
64,37.982,-0.19,-0.12,-0.00,-0.01,0.03,0.10,0.00,0.00,1.41,0.01
65,38.015,-0.18,-0.14,0.00,-0.01,0.06,0.18,0.00,0.00,1.41,0.03
66,38.049,-0.17,-0.13,0.00,-0.00,-0.01,0.19,0.00,0.00,1.40,0.03
67,38.082,-0.16,-0.14,0.00,0.01,-0.12,0.15,0.00,0.00,1.38,0.02
68,38.115,-0.15,-0.12,-0.01,0.01,-0.21,0.10,0.00,0.00,1.37,0.01
69,38.149,-0.17,-0.05,-0.02,0.01,-0.21,0.05,0.00,0.00,1.37,0.01
70,38.182,-0.25,-0.01,-0.02,0.01,-0.12,-0.02,0.00,0.00,1.38,0.00
71,38.216,-0.36,0.02,-0.02,0.01,0.00,-0.09,0.00,0.00,1.40,0.00
72,38.249,-0.43,0.06,-0.02,0.01,0.11,-0.13,0.00,0.00,1.42,0.00
73,38.282,-0.48,0.09,-0.02,0.00,0.17,-0.11,0.00,0.00,1.43,0.00
74,38.316,-0.54,0.07,-0.01,-0.00,0.21,-0.04,0.00,0.00,1.43,0.00
75,38.349,-0.57,0.04,-0.00,-0.00,0.18,0.05,0.00,0.00,1.43,0.01
76,38.382,-0.54,0.05,0.01,0.00,0.08,0.10,0.01,0.00,1.41,0.01
77,38.416,-0.50,0.07,0.01,0.01,-0.06,0.09,0.01,0.00,1.39,0.01
78,38.449,-0.48,0.10,0.00,0.01,-0.14,0.04,0.00,0.00,1.38,0.01
79,38.482,-0.50,0.13,-0.01,0.01,-0.13,0.00,0.00,0.00,1.38,0.00
80,38.516,-0.54,0.16,-0.01,0.01,-0.06,-0.06,0.00,0.00,1.39,0.00
81,38.549,-0.57,0.20,-0.01,0.01,0.02,-0.13,0.00,0.00,1.41,0.00
82,38.582,-0.60,0.22,-0.01,-0.00,0.10,-0.16,0.00,0.00,1.42,0.00
83,38.616,-0.64,0.21,-0.00,-0.01,0.13,-0.11,0.00,0.00,1.42,0.00
84,38.649,-0.64,0.15,0.00,-0.01,0.14,-0.04,0.00,0.00,1.42,0.00
85,38.682,-0.60,0.12,0.01,-0.01,0.22,-0.01,0.01,0.00,1.43,0.00
86,38.716,-0.58,0.13,0.01,-0.01,0.58,-0.02,0.02,0.00,1.48,0.00
87,38.749,-0.57,0.10,0.03,-0.01,1.30,-0.01,0.05,0.00,1.59,0.00
88,38.782,-0.47,0.04,0.09,-0.01,2.19,0.06,0.16,0.00,1.71,0.01
89,38.816,-0.09,0.01,0.19,-0.01,2.87,0.17,0.34,0.00,1.81,0.02
90,38.849,0.71,0.01,0.30,0.00,2.99,0.24,0.54,0.00,1.83,0.03
91,38.883,1.93,0.02,0.40,0.01,2.44,0.21,0.70,0.00,1.75,0.03
92,38.916,3.47,0.08,0.47,0.02,1.26,0.06,0.75,0.00,1.58,0.01
93,38.949,5.20,0.18,0.49,0.02,-0.40,-0.14,0.66,0.00,1.34,0.00
94,38.983,6.94,0.25,0.45,0.01,-2.31,-0.36,0.48,0.00,1.07,0.00
95,39.016,8.43,0.25,0.34,-0.01,-4.05,-0.49,0.28,0.00,0.82,0.00
96,39.049,9.39,0.20,0.17,-0.03,-5.02,-0.49,0.11,0.00,0.69,0.00
97,39.083,9.62,0.08,-0.03,-0.04,-4.71,-0.37,0.00,0.00,0.73,0.00
98,39.116,9.12,-0.11,-0.18,-0.05,-3.11,-0.20,0.00,0.00,0.96,0.00
99,39.149,8.14,-0.30,-0.25,-0.06,-0.80,0.01,0.00,0.00,1.29,0.00
100,39.183,7.12,-0.48,-0.23,-0.05,1.29,0.23,0.00,0.00,1.59,0.03
101,39.216,6.43,-0.67,-0.14,-0.04,2.44,0.36,0.00,0.00,1.75,0.05
102,39.249,6.17,-0.79,-0.04,-0.02,2.42,0.33,0.00,0.00,1.75,0.05
103,39.283,6.27,-0.81,0.04,-0.01,1.52,0.14,0.07,0.00,1.62,0.02
104,39.316,6.58,-0.81,0.07,-0.01,0.31,-0.10,0.10,0.00,1.45,0.00
105,39.349,6.91,-0.87,0.06,-0.02,-0.71,-0.27,0.07,0.00,1.30,0.00
