Rep,MinVelTime,MinVel,MaxVelTime,MaxVel,MinAccTime,MinAcc,MaxAccTime,MaxAcc,MinForceTime,MinForce,MaxForceTime,MaxForce,MinImpulseTime,MinImpulse,MaxImpulseTime,MaxImpulse,AvgWork,MinWorkTime,MinWork,MaxWorkTime,MaxWork,AvgPower,MinPowerTime,MinPower,MaxPowerTime,MaxPower
0,46.252000,0.023652,48.253000,1.112960,47.086000,0.136661,48.353000,6.116997,47.086000,0.136661,48.353000,6.116997,46.252000,0.023652,48.253000,1.112960,0.190909,46.252000,0.000280,48.253000,0.619340,0.000316,48.320000,-4.741599,48.186000,2.494213
1,51.621000,0.016417,52.321000,1.009960,50.854000,0.086722,52.421000,5.099028,50.854000,0.086722,52.421000,5.099028,51.621000,0.016417,52.321000,1.009960,0.000000,51.621000,0.000135,52.321000,0.510010,0.000000,52.388000,-3.639449,52.255000,1.869140
2,54.289000,0.017625,56.056000,1.085050,55.723000,0.076931,56.190000,6.186982,55.723000,0.076931,56.190000,6.186982,54.289000,0.017625,56.056000,1.085050,0.000000,54.289000,0.000155,56.056000,0.588667,0.000000,56.156000,-4.431002,54.589000,2.000060
3,57.957000,0.003929,59.925000,1.081175,59.925000,0.090397,60.058000,6.533547,59.925000,0.090397,60.058000,6.533547,57.957000,0.003929,59.925000,1.081175,0.000000,57.957000,0.000008,59.925000,0.584470,0.000000,60.025000,-4.494620,59.858000,2.686168
4,61.892000,0.011202,63.993000,1.018434,62.492000,0.078565,64.093000,5.772019,62.492000,0.078565,64.093000,5.772019,61.892000,0.011202,63.993000,1.018434,0.000000,61.892000,0.000063,63.993000,0.518604,0.000000,64.060000,-3.964455,62.359000,1.990445
5,66.261000,0.031219,68.228000,0.983387,67.861000,0.138830,68.395000,5.598331,67.861000,0.138830,68.395000,5.598331,66.261000,0.031219,68.228000,0.983387,0.000000,66.261000,0.000487,68.228000,0.483525,0.000000,68.328000,-3.362190,66.527000,2.368260
6,70.529000,0.011350,72.530000,0.951096,71.930000,0.123049,72.663000,5.538998,71.930000,0.123049,72.663000,5.538998,70.529000,0.011350,72.530000,0.951096,0.000000,70.529000,0.000064,72.530000,0.452291,0.000000,72.630000,-3.295240,70.796000,2.010242
7,74.898000,0.026355,76.898000,0.964429,76.298000,0.056673,77.032000,5.802921,76.298000,0.056673,77.032000,5.802921,74.898000,0.026355,76.898000,0.964429,0.000000,74.898000,0.000347,76.898000,0.465061,0.000000,76.998000,-3.610922,76.832000,2.006613
